# Time-averaged data for fix 4
# TimeStep v_myPxx v_myPyy v_myPzz v_myPxy v_myPxz v_myPyz
1621000 -60.2967 -77.8112 -98.1353 -8.5404 98.1825 5.54377
1622000 -65.1302 97.5084 -103.086 -2.47713 -43.6324 -48.0305
1623000 -189.65 -71.6571 -67.5879 82.6433 -2.32404 -5.07735
1624000 -107.778 -16.8312 -176.644 4.11373 -10.8059 -22.498
1625000 -64.0191 -183.879 -49.6301 -36.439 65.043 -52.163
1626000 -92.5071 -198.286 -94.3832 -56.4124 72.1548 87.0927
1627000 -206.659 -70.758 -42.3754 -41.673 49.8561 34.334
1628000 -174.68 46.3168 -76.5149 -21.8674 -39.1726 42.7068
1629000 -78.3213 -146.38 -43.6864 12.9506 21.3736 3.90536
1630000 -124.722 -70.1479 -12.1821 -91.4008 71.7897 32.718
1631000 -40.2909 -127.443 -36.0489 -75.0001 10.0558 -35.0345
1632000 -92.6555 -55.9032 -102.537 0.613829 -1.88284 -31.312
1633000 -134.574 -14.2171 125.949 -8.14776 -13.4374 5.99258
1634000 -181.524 -59.0693 -134.031 -23.9122 31.6271 33.7388
1635000 -80.3089 -99.0307 -144.65 32.2858 15.4901 -2.78051
1636000 -22.6035 -80.8119 -79.2228 49.1371 17.0879 -98.9126
1637000 -95.7906 -151.887 -75.5399 5.79164 71.1293 -11.6299
1638000 -216.619 -150.772 -183.61 12.516 63.1374 -69.2062
1639000 -166.008 -215.418 -102.148 -76.9571 -1.17495 0.692919
1640000 -133.497 -26.6126 94.1881 -27.5531 -10.5589 -66.4466
1641000 -175.54 -112.022 5.09351 45.2254 -43.2448 -11.077
1642000 -120.312 -51.8615 -66.0046 -104.128 40.1317 -48.4543
1643000 -51.2715 41.1992 8.67743 -44.854 -14.8696 -5.33041
1644000 -94.7832 -105.372 -93.0122 -6.356 -14.8219 3.11178
1645000 -16.7035 -99.6901 -14.8858 -21.7123 -5.33793 35.1448
1646000 20.8656 -83.0352 151.653 -50.9829 -105.875 48.135
1647000 -90.1404 -107.53 -42.0683 -0.905498 13.2953 -91.9958
1648000 2.49277 -65.3717 21.6407 5.23982 -17.9438 1.58336
1649000 5.55007 -3.60677 101.214 -108.904 52.7019 -3.74536
1650000 -31.4778 -42.2334 -2.71907 -53.2345 -14.4491 -10.1598
1651000 -142.197 -246.381 -113.016 6.28705 34.6184 -7.97728
1652000 -118.975 -152.78 -106.325 -70.6211 -31.41 -35.5068
1653000 -38.7825 -169.772 -215.173 -67.5033 37.8079 102.12
1654000 -367.148 -203.882 -336.83 13.8906 -23.6674 -8.00739
1655000 -128.349 -144.224 -112.851 10.6134 -24.9092 33.5067
1656000 -219.5 -138.388 -220.677 67.1234 -60.4366 55.6927
1657000 -157.943 -63.1657 -135.952 -32.0241 3.79193 -32.1938
